Parameter,Value,Notes
Company,Corello,
Stage,Seed,
Sector,Industrial AI / Manufacturing Intelligence,
Round Size,$2.5M,
Contracted Revenue,$700K,Signed contracted commitments — NOT ARR
Contracted Revenue Type,Contracted revenue,Not ARR and not recognized revenue
Target Pre-Money,$12.0M,Recommended valuation
Target Post-Money,$14.5M,Pre-money + round size
Target Investor Ownership,17.24%,Round size / post-money
Fair Range (Pre-Money),$10M – $13M,Recommended zone
Founder Anchor,$14.0M,Opening negotiation position
Stretch Range,$14M – $15M,Only if contract quality is strong
Avoid Above,$16M+,Requires recurring ARR or strategic lead
Contracted Revenue Multiple at $12M Pre,17.1x,Sanity check only — not an ARR multiple
